hex,name,series,opacity,lightfastness,pigments
#FFE600,Cadmium Yellow Light Hue,S1,Semi-Opaque,I,PY3
#FFE135,Transparent Yellow,S1,Transparent,I,PY128
#FFD600,Primary Yellow,S1,Semi-Opaque,I,PY74
#FFD600,Cadmium Yellow Medium Hue,S1,Semi-Opaque,I,PY74•PY83
#E4B64D,Cadmium Yellow Deep Hue,S1,Semi-Opaque,I,PY83•PW6
#E86A45,Vivid Red Orange,S1,Semi-Opaque,I,PO73•PY139
#DD6B53,Cadmium Orange Hue,S1,Semi-Opaque,I,PO73
#BC1823,Cadmium Red Light Hue,S1,Semi-Opaque,I,PR9•PY74
#B22E2F,Cadmium Red Medium Hue,S1,Semi-Opaque,I,PR170•PR9
#961F2B,Pyrrole Red,S2,Semi-Opaque,II,PR254
#B22E2F,Naphthol Crimson,S2,Semi-Opaque,II,PR170
#DA4830,Transparent Red,S2,Transparent,I,PR209
#961F2B,Cadmium Red Deep Hue,S2,Semi-Opaque,I,PR170•PV19
#8A1A1F,Alizarin Crimson Hue Permanent,S2,Transparent,I,PR206•PR202
#DA4830,Primary Red,S1,Semi-Opaque,I,PV19
#EECCC2,Light Portrait Pink,S1,Opaque,I,PW6•PO36•PR188
#FFB6C1,Rose Pink,S1,Opaque,I,PW6•PO36•PR122
#A41651,Medium Magenta,S1,Semi-Opaque,I,PR122•PW6
#7B1B3B,Quinacridone Magenta,S1,Semi-Opaque,I,PR122
#4C3064,Brilliant Purple,S1,Semi-Opaque,II,PV23•PW6
#3C1F4B,Deep Violet,S1,Semi-Opaque,I,PR122•PV19
#4C3064,Prism Violet,S2,Semi-Opaque,II,PV23•PR122
#808080,Purple Gray,S1,Opaque,I,PV23•PBk7
#2F1A45,Dioxazine Purple,S2,Transparent,II,PV23
#423A6F,Light Blue Violet,S1,Opaque,I,PB29•PW6
#1A2C4A,Prussian Blue Hue,S1,Semi-Opaque,I,PB15:3•PV23•PBk7
#1B2B50,Ultramarine Blue,S1,Transparent,I,PB29
#252C64,Cobalt Blue Hue,S1,Opaque,I,PB29•PW6
#14284B,Phthalocyanine Blue,S1,Transparent,I,PB15:3
#1A2C64,Primary Blue,S1,Transparent,I,PB15:3
#1E5B99,Cerulean Blue Hue,S2,Opaque,I,PB15:3•PG7•PW6
#00A5C4,Brilliant Blue,S1,Opaque,I,PB15:3•PG7•PW6
#3F99CC,Light Blue Permanent,S1,Opaque,I,PB15:3•PG7•PW6
#46B5DE,Turquoise Blue,S1,Opaque,I,PB15:3•PG7•PW6
#008D97,Bright Aqua Green,S1,Opaque,I,PG7•PW6
#36454F,Blue Gray,S1,Opaque,I,PB15:3•PW6•PBk7
#004D3C,Phthalocyanine Green,S1,Transparent,I,PG7
#0A4A33,Hooker's Green Hue Permanent,S1,Semi-Opaque,I,PG7•PBk9•PY74
#006B3F,Permanent Green Deep,S1,Opaque,I,PG7•PW6•PY97
#48A377,Light Green Permanent,S1,Opaque,I,PG7•PY97•PW6
#90EE90,Light Olive Green,S2,Semi-Opaque,I,PG7•PY74•PY42•PW6
#32CD32,Lime Green,S1,Opaque,I,PG7•PY74•PW6
#9DC183,Brilliant Yellow Green,S1,Semi-Opaque,I,PW6•PY3•PY74•PG7
#808080,Green Gray,S1,Opaque,I,PY42•PB29•PW6
#CD7F32,Bronze Yellow,S1,Opaque,I,PY42•PBk11•PR101
#C68642,Yellow Oxide,S1,Opaque,I,PY42
#D8B696,Naples Yellow Hue,S2,Opaque,I,PW6•PY42•PY83
#8B4513,Raw Sienna,S1,Opaque,I,PY42•PR101•PBk9
#8B0000,Red Oxide,S1,Opaque,I,PR101•PY42
#8B4513,Burnt Sienna,S1,Opaque,I,PBk9•PR101
#654321,Raw Umber,S1,Opaque,I,PBr7
#654321,Burnt Umber,S1,Opaque,I,PBr7
#E2D7C5,Unbleached Titanium,S1,Opaque,I,PW6•PY42•PR101•PBk11
#F5F5F5,Parchment,S1,Opaque,I,PBk7•PG7•PW6•PY42
#F9F9F7,Transparent Mixing White,S1,Transparent,I,PW4
#FFFFFF,Titanium White,S1,Opaque,I,PW6
#808080,Neutral Gray 5,S1,Opaque,I,PBk9•PBr7•PW6
#2C3543,Payne's Gray,S1,Semi-Opaque,I,PB29•PBk9•PV15
#212121,Ivory Black,S1,Opaque,I,PBk9
#1A1A1A,Mars Black,S1,Opaque,I,PBk11
#F8F8F8,Iridescent White,S2,Opaque,NR,
#A9A9A9,Iridescent Graphite,S2,Opaque,NR,
#C0C0C0,Silver,S2,Opaque,NR,
#CFB53B,Gold,S2,Semi-Opaque,NR,
#CD7F32,Bronze,S2,Opaque,NR,
#B87333,Copper,S2,Opaque,NR,
#FFE135,Fluorescent Yellow,S2,Transparent,NR,
#FF7F27,Fluorescent Orange,S2,Transparent,NR,
#FF4844,Fluorescent Red,S2,Transparent,NR,
#FF48A4,Fluorescent Pink,S2,Transparent,NR,
#00A4E4,Fluorescent Blue,S2,Transparent,NR,
#4AC925,Fluorescent Green,S2,Transparent,NR,
