hex,name,series,opacity,lightfastness,pigments
#FFF200,Cadmium Yellow Light Hue,S1,Semi-Opaque,I,PY184•PY74•PW6
#FFE600,Yellow Medium Azo,S1,Transparent,I,PY74
#FFD600,Cadmium Yellow Medium Hue,S1,Semi-Opaque,I,PY74•PY83
#E4B64D,Cadmium Yellow Deep Hue,S1,Semi-Opaque,I,PY65•PY74•PW6
#D6A349,Cadmium Orange Hue,S1,Semi-Opaque,I,PO73
#DD6B53,Cadmium Red Light Hue,S1,Semi-Opaque,I,PR9•PY65•PW6
#BC1823,Cadmium Red Medium Hue,S1,Semi-Opaque,I,PR170•PY74
#961F2B,Naphthol Crimson,S2,Semi-Opaque,II,PR170
#8A1A1F,Cadmium Red Deep Hue,S1,Semi-Opaque,I,PR170•PV19
#FF69B4,Light Portrait Pink,S1,Opaque,I,PR188•PO36•PW6
#B82C6C,Medium Magenta,S1,Opaque,I,PR122•PW6
#4C3064,Brilliant Purple,S1,Semi-Opaque,II,PV23•PW6
#2F1A45,Dioxazine Purple,S2,Transparent,II,PV23
#1B2B50,Cobalt Blue Hue,S1,Opaque,I,PB29•PW6
#14284B,Phthalocyanine Blue,S1,Transparent,I,PB15:3
#1A2C4A,Primary Blue,S1,Transparent,I,PB15:3
#1E5B99,Cerulean Blue Hue,S2,Opaque,I,PB29•PG7•PW6•PB15:3
#3F99CC,Light Blue Permanent,S1,Opaque,I,PB15:3•PG7•PW6
#008D97,Bright Aqua Green,S1,Opaque,I,PB15:3•PG7•PW6
#004D3C,Phthalocyanine Green,S1,Transparent,I,PG7
#0A4A33,Hooker's Green Hue Permanent,S1,Semi-Opaque,I,PG7•PY110
#48A377,Light Green Permanent,S2,Opaque,I,PG7•PY97•PW6
#8B5E3C,Raw Sienna,S1,Opaque,I,PBr7
#6C3C35,Burnt Sienna,S1,Opaque,I,PBr7
#4C3B36,Raw Umber,S1,Opaque,I,PBr7
#E2D7C5,Unbleached Titanium,S1,Opaque,I,PW6•PY42•PR101•PBk11
#E6E3DC,Parchment,S1,Opaque,I,PW6•PY42•PBk7•PG7
#FFFFFF,Titanium White,S1,Opaque,I,PW6
#808080,Neutral Gray 5,S1,Opaque,I,PBk9•PBr7•PW6
#2C3543,Payne's Gray,S1,Semi-Opaque,I,PB29•PBk9•PV15
#212121,Carbon Black,S1,Opaque,I,PBk7
#1A1A1A,Mars Black,S1,Opaque,I,PBk11
#F8F8F8,Iridescent White,S2,Opaque,NR,
#9B9B9B,Iridescent Rich Silver,S2,Semi-Opaque,NR,
#BB8B41,Iridescent Bright Gold,S2,Semi-Opaque,NR,
#A67C3C,Iridescent Rich Gold,S2,Semi-Opaque,NR,
#9F7B3D,Iridescent Antique Gold,S2,Semi-Opaque,NR,
#8B6E43,Iridescent Rich Bronze,S2,Opaque,NR,
#955C45,Iridescent Rich Copper,S2,Opaque,NR,
#B17267,Iridescent Rose Gold,S2,Opaque,NR,
#FFE135,Fluorescent Yellow,S2,Semi-Opaque,NR,
#FF7F27,Fluorescent Orange,S2,Semi-Opaque,NR,
#FF4844,Fluorescent Red,S2,Semi-Opaque,NR,
#FF48A4,Fluorescent Pink,S2,Semi-Opaque,NR,
#00A4E4,Fluorescent Blue,S2,Semi-Opaque,NR,
#4AC925,Fluorescent Green,S2,Semi-Opaque,NR,
