hex,name,series,opacity,lightfastness,pigments
#FFF200,Cadmium Yellow Light Hue,S1,Semi-Opaque,I,PY184•PY74•PW6
#FFE600,Yellow Medium Azo,S1,Transparent,I,PY74
#FFD600,Cadmium Yellow Medium Hue,S1,Semi-Opaque,I,PY74•PO62•PW6
#E4B64D,Cadmium Yellow Deep Hue,S1,Semi-Opaque,I,PY65•PY74•PW6
#D6A349,Yellow Orange Azo,S2,Semi-Opaque,I,PY83
#DD6B53,Pyrrole Orange,S4,Opaque,NR,PO73
#E86A45,Vivid Red Orange,S3,Opaque,NR,PO73•PY139
#E17643,Cadmium-Free Orange,S4,Opaque,I,
#CB362D,Cadmium Red Medium,S5,Opaque,I,PR108
#B1272D,Pyrrole Red,S4,Semi-Opaque,I,PR254
#AF1E27,Quinacridone Red,S3,Transparent,I,PR209
#98202B,Pyrrole Crimson,S4,Opaque,NR,PR264
#8A1A1F,Alizarin Crimson Hue Permanent,S2,Transparent,I,PR206•PR202
#961F2B,Cadmium-Free Red Deep,S4,Opaque,I,
#3C1F4B,Deep Violet,S3,Transparent,I,PR122•PV19
#362A52,Prism Violet,S2,Transparent,II,PV23•PR122
#423A6F,Light Blue Violet,S1,Opaque,I,PB29•PW6
#1E1F4A,Indanthrene Blue,S3,Transparent,I,PB60
#252C64,Cobalt Blue Hue,S1,Opaque,I,PB29•PW6
#1C2C64,Cobalt Blue,S4,Opaque,I,PB28
#1B2C5E,Ultramarine Blue Red Shade,S1,Transparent,I,PB29
#1E5B99,Cerulean Blue Hue,S2,Opaque,I,PB29•PG7•PW6•PB15:3
#195EA3,Cerulean Blue,S3,Opaque,I,PB36
#3F99CC,Light Blue Permanent,S1,Opaque,I,PB15•PG7•PW6
#007E7A,Light Phthalocyanine Green,S1,Opaque,I,PG7•PW6
#008D97,Bright Aqua Green,S1,Opaque,I,PG7•PB15•PW6
#00756F,Cobalt Teal,S4,Opaque,I,PG50
#004D64,Turquoise Deep,S2,Semi-Opaque,I,PB15:3•PG7
#006B5B,Transparent Viridian Hue,S2,Transparent,I,PG7
#0A4A33,Hooker's Green Hue Permanent,S1,Semi-Opaque,I,PG7•PBk7•PY74
#2B4A3E,Sap Green Permanent,S2,Transparent,I,PY139•PB15:3•PBk11
#1E3B2F,Chromium Oxide Green,S2,Opaque,I,PG17
#988439,Green Gold,S4,Semi-Opaque,NR,PY129
#8B5E3C,Raw Sienna,S1,Opaque,I,PBr7
#BE8942,Transparent Raw Sienna,S3,Transparent,I,PY42
#8E3C2F,Red Oxide,S1,Opaque,I,PR101
#6C3C35,Burnt Sienna,S1,Opaque,I,PBr7
#4C3B36,Burnt Umber,S1,Opaque,I,PBr7
#E2D7C5,Unbleached Titanium,S1,Opaque,I,PW6•PY42•PR101•PBk11
#E6E3DC,Parchment,S1,Opaque,I,PW6•PY42•PBk7•PG7
#FFFFFF,Titanium White,S1,Opaque,I,PW6
#F9F9F7,Transparent Mixing White,S1,Transparent,I,PW4
#808080,Neutral Gray 5,S1,Opaque,I,PBk9•PBr7•PW6
#666666,Neutral Gray 7,S1,Opaque,I,PBk9•PBr7•PW6
#404040,Neutral Gray 8,S1,Opaque,I,PBk9•PBr7•PW6
#2C3543,Payne's Gray,S1,Semi-Opaque,I,PB29•PBk9•PV15
#212121,Transparent Black,S1,Transparent,I,PBk7
#1A1A1A,Carbon Black,S1,Opaque,I,PBk7
#F8F8F8,Iridescent White,S2,Opaque,NR,
